,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
568,ARCHIVES OF BIOLOGICAL SCIENCES,ARCH BIOL SCI,0354-4664,1821-4339,BIOLOGY - SCIE,"1,234",0.856,Q4,0.22,100%
569,ARCHIVES OF CIVIL AND MECHANICAL ENGINEERING,ARCH CIV MECH ENG,1644-9665,2083-3318,"ENGINEERING, MECHANICAL - SCIE","4,039",4.042,Q2,1.01,22.34%
570,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ARCH CLIN NEUROPSYCH,0887-6177,1873-5843,"PSYCHOLOGY, CLINICAL - SSCI","7,047",3.448,Q2,0.94,10.90%
571,ARCHIVES OF CONTROL SCIENCES,ARCH CONTROL SCI,2300-2611,2300-2611,"MATHEMATICS, APPLIED - SCIE",329,1.443,Q2,0.48,0%
572,ARCHIVES OF DERMATOLOGICAL RESEARCH,ARCH DERMATOL RES,0340-3696,1432-069X,DERMATOLOGY - SCIE,"5,404",3.033,Q2,1.06,12%
573,ARCHIVES OF ELECTRICAL ENGINEERING,ARCH ELECTR ENG,1427-4221,2300-2506,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",376,,,0.26,0%
574,ARCHIVES OF ENDOCRINOLOGY METABOLISM,ARCH ENDOCRIN METAB,2359-3997,2359-4292,ENDOCRINOLOGY & METABOLISM - SCIE,"1,340",2.032,Q4,0.41,90.18%
575,ARCHIVES OF ENVIRONMENTAL & OCCUPATIONAL HEALTH,ARCH ENVIRON OCCUP H,1933-8244,2154-4700,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,652",1.765,Q4,0.39,2.97%
576,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,0739-4462,1520-6327,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,640",2.454,Q4,0.52,3.79%
580,ARCHIVES OF NEUROSCIENCE,ARCH NEUROSCI,2322-3944,2322-5769,NEUROSCIENCES - ESCI,193,,,0.11,98.52%
581,ARCHIVES OF OSTEOPOROSIS,ARCH OSTEOPOROS,1862-3522,1862-3514,ENDOCRINOLOGY & METABOLISM - SCIE,"2,793",2.879,Q4,0.81,15.96%
582,ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,0253-6269,1976-3786,PHARMACOLOGY & PHARMACY - SCIE,"9,416",6.01,Q1,1.04,6.46%
585,ARCHIVES OF PHARMACY PRACTICE,ARCH PHARM PRACT,2320-5210,2045-080X,PHARMACOLOGY & PHARMACY - ESCI,322,,,0.28,25.19%
586,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,ARCH PHYSIOL BIOCHEM,1381-3455,1744-4160,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,109,0.186,Q4,,
590,ARCHIVES OF PUBLIC HEALTH,ARCH PUBLIC HEALTH,0778-7367,2049-3258,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,297",2.736,Q3,0.66,99.22%
591,ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,0004-0002,1573-2800,"PSYCHOLOGY, CLINICAL - SSCI","11,474",4.891,Q1,1.67,16.07%
592,ARCHIVES OF SUICIDE RESEARCH,ARCH SUICIDE RES,1381-1118,1543-6136,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,727",2.833,Q2,0.75,7.10%
593,ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,0004-0622,2309-5806,NUTRITION & DIETETICS - SCIE,732,0.545,Q4,0.09,40.48%
594,ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,ARCH IMMUNOL THER EX,0004-069X,1661-4917,IMMUNOLOGY - SCIE,"2,561",3.831,Q3,0.48,34.31%
595,ARHIV ZA HIGIJENU RADA I TOKSIKOLOGIJU-ARCHIVES OF INDUSTRIAL HYGIENE AND TOXICOLOGY,ARH HIG RADA TOKSIKO,0004-1254,1848-6312,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,337",2.078,Q4,0.43,97.41%
596,ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY,ARO,2307-549X,2410-9355,MULTIDISCIPLINARY SCIENCES - ESCI,66,,,0.13,95.45%
597,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,ARQ BRAS OFTALMOL,0004-2749,1678-2925,OPHTHALMOLOGY - SCIE,"1,382",1.033,Q4,0.3,82.71%
598,ARQUIVOS BRASILEROS DE PSICOLOGIA,ARQ BRAS PSICOL APL,1809-5267,1809-5267,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",186,,,0.04,0%
599,ARQUIVOS DE NEURO-PSIQUIATRIA,ARQ NEURO-PSIQUIAT,0004-282X,1678-4227,NEUROSCIENCES - SCIE,"4,051",2.035,Q4,0.32,92.21%
600,ARS MATHEMATICA CONTEMPORANEA,ARS MATH CONTEMP,1855-3966,1855-3974,"MATHEMATICS, APPLIED - SCIE",489,0.922,Q4,0.54,0%
601,ARS PHARMACEUTICA,ARS PHARM,0004-2927,2340-9894,PHARMACOLOGY & PHARMACY - ESCI,168,,,0.08,54%
602,ART THERAPY,ART THER,0742-1656,2159-9394,"PSYCHOLOGY, CLINICAL - ESCI",968,,,0.36,3.30%
603,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,1079-5642,1524-4636,PERIPHERAL VASCULAR DISEASE - SCIE,"41,659",10.514,Q1,1.68,15.90%
604,ARTERY RESEARCH,ARTERY RES,1872-9312,1876-4401,PERIPHERAL VASCULAR DISEASE - SCIE,324,0.813,Q4,0.12,95.24%
605,ARTIFICIAL CELLS NANOMEDICINE AND BIOTECHNOLOGY,ARTIF CELL NANOMED B,2169-1401,2169-141X,"ENGINEERING, BIOMEDICAL - SCIE","10,690",6.355,Q1,1.2,99.70%
606,ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,0933-3657,1873-2860,"ENGINEERING, BIOMEDICAL - SCIE","5,314",7.011,Q1,1.26,11.24%
607,ARTIFICIAL ORGANS,ARTIF ORGANS,0160-564X,1525-1594,"ENGINEERING, BIOMEDICAL - SCIE","5,240",2.663,Q3,0.66,16.60%
608,ARTS & HEALTH,ARTS HEALTH,1753-3015,1753-3023,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",489,1.724,Q4,0.48,15.12%
609,ARTS IN PSYCHOTHERAPY,ART PSYCHOTHER,0197-4556,1873-5878,"PSYCHOLOGY, CLINICAL - SSCI","1,905",1.847,Q4,0.66,5.73%
610,ASAIO JOURNAL,ASAIO J,1058-2916,1538-943X,"ENGINEERING, BIOMEDICAL - SCIE","5,107",3.826,Q3,0.94,3.37%
611,ASHRAE JOURNAL,ASHRAE J,0001-2491,1943-6637,"ENGINEERING, MECHANICAL - SCIE",902,0.603,Q4,0.07,0%
612,ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,ASIA PAC J CLIN NUTR,0964-7058,1440-6047,NUTRITION & DIETETICS - SCIE,"4,384",1.322,Q4,0.33,0%
613,ASIA PACIFIC JOURNAL OF COUNSELLING AND PSYCHOTHERAPY,ASIA PAC J COUNS PSY,2150-7686,2150-7708,"PSYCHOLOGY, CLINICAL - ESCI",102,,,0.22,0%
614,ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY,ASIA-PAC J CLIN ONCO,1743-7555,1743-7563,ONCOLOGY - SCIE,"1,989",1.926,Q4,0.34,9.89%
615,ASIA-PACIFIC JOURNAL OF MOLECULAR BIOLOGY AND BIOTECHNOLOGY,ASIA-PAC J MOL BIOL,0128-7451,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,21,0.115,Q4,,
616,ASIA-PACIFIC JOURNAL OF OPHTHALMOLOGY,ASIA-PAC J OPHTHALMO,,2162-0989,OPHTHALMOLOGY - SCIE,"1,597",4.206,Q2,0.89,95.59%
617,ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH,ASIA-PAC J PUBLIC HE,1010-5395,1941-2479,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,616",2.27,Q3,0.45,7%
618,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,ASIAN AM J PSYCHOL,1948-1985,1948-1993,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,020",1.797,Q3,0.69,0%
619,ASIAN JOURNAL OF MATHEMATICS,ASIAN J MATH,1093-6106,1945-0036,"MATHEMATICS, APPLIED - SCIE",723,0.593,Q4,0.37,0%
620,ASIAN JOURNAL OF PHARMACEUTICAL RESEARCH AND HEALTH CARE,ASIAN J PHARM RES HE,2250-1444,2250-1460,PHARMACOLOGY & PHARMACY - ESCI,104,,,0.09,92.96%
621,ASIAN JOURNAL OF PHARMACEUTICAL SCIENCES,ASIAN J PHARM SCI,1818-0876,1818-0876,PHARMACOLOGY & PHARMACY - SCIE,"3,744",9.273,Q1,1.7,99.45%
622,ASIAN JOURNAL OF PHARMACEUTICS,ASIAN J PHARM,0973-8398,1998-409X,PHARMACOLOGY & PHARMACY - ESCI,736,,,0.1,0%
623,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,ASIAN J SOC PSYCHOL,1367-2223,1467-839X,"PSYCHOLOGY, SOCIAL - SSCI","1,547",2.144,Q4,0.49,7.05%
624,ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,ASIAN PAC J ALLERGY,0125-877X,2228-8694,IMMUNOLOGY - SCIE,"1,438",7.143,Q2,0.75,91.82%
625,ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE,ASIAN PAC J TROP MED,1995-7645,2352-4146,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","4,283",3.041,Q3,0.58,99.01%
626,ASN NEURO,ASN NEURO,1759-0914,1759-0914,NEUROSCIENCES - SCIE,"1,324",5.2,Q2,0.83,96.88%
627,ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,ASSAY DRUG DEV TECHN,1540-658X,1557-8127,PHARMACOLOGY & PHARMACY - SCIE,"1,509",2.471,Q3,0.45,1.87%
628,ASSESSMENT,ASSESSMENT,1073-1911,1552-3489,"PSYCHOLOGY, CLINICAL - SSCI","8,283",4.282,Q2,1.34,11.40%
629,ASTROBIOLOGY,ASTROBIOLOGY,1531-1074,1557-8070,BIOLOGY - SCIE,"5,156",4.045,Q2,0.98,29.39%
630,ASYMPTOTIC ANALYSIS,ASYMPTOTIC ANAL,0921-7134,1875-8576,"MATHEMATICS, APPLIED - SCIE","1,163",1.259,Q3,0.55,0%
631,ATHEROSCLEROSIS,ATHEROSCLEROSIS,0021-9150,1879-1484,PERIPHERAL VASCULAR DISEASE - SCIE,"29,508",6.851,Q1,1.15,19.98%
632,ATHEROSCLEROSIS SUPPLEMENTS,ATHEROSCLEROSIS SUPP,1567-5688,1878-5050,PERIPHERAL VASCULAR DISEASE - SCIE,706,1.585,Q4,0.3,34.15%
633,ATOMIZATION AND SPRAYS,ATOMIZATION SPRAY,1044-5110,1936-2684,"ENGINEERING, MECHANICAL - SCIE","1,843",1.134,Q4,0.23,0%
634,ATTENTION PERCEPTION & PSYCHOPHYSICS,ATTEN PERCEPT PSYCHO,1943-3921,1943-393X,"PSYCHOLOGY, EXPERIMENTAL - SSCI","5,968",2.157,Q3,0.67,29.31%
635,ATTI ACCADEMIA PELORITANA DEI PERICOLANTI-CLASSE DI SCIENZE FISICHE MATEMATICHE E NATURALI,ATTI ACCAD PELORIT,0365-0359,1825-1242,MULTIDISCIPLINARY SCIENCES - ESCI,148,,,0.23,0%
636,AUDIOLOGY AND NEURO-OTOLOGY,AUDIOL NEURO-OTOL,1420-3030,1421-9700,OTORHINOLARYNGOLOGY - SCIE,"2,600",2.213,Q3,0.65,18.67%
639,AUDIOLOGY RESEARCH,AUDIOL RES,2039-4330,2039-4349,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - ESCI,234,,,0.44,96.15%
640,AUGMENTATIVE AND ALTERNATIVE COMMUNICATION,AUGMENT ALTERN COMM,0743-4618,1477-3848,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,"1,470",3.87,Q1,1.31,9.09%
641,AURIS NASUS LARYNX,AURIS NASUS LARYNX,0385-8146,1879-1476,OTORHINOLARYNGOLOGY - SCIE,"3,537",2.119,Q3,0.83,3.62%
643,AUSTRALASIAN JOURNAL OF DERMATOLOGY,AUSTRALAS J DERMATOL,0004-8380,1440-0960,DERMATOLOGY - SCIE,"2,558",2.481,Q3,0.58,2.47%
644,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,AUSTRALAS PHYS ENG S,0158-9938,1879-5447,"ENGINEERING, BIOMEDICAL - SCIE","1,226",1.91,Q4,0.34,3.37%
645,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,AUST NZ J PUBL HEAL,1326-0200,1753-6405,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,613",3.755,Q2,0.77,93.39%
646,AUSTRALIAN COMMUNITY PSYCHOLOGIST,AUST COMMUNITY PSYCH,1835-7393,1835-7393,"PSYCHOLOGY, APPLIED - ESCI",130,,,0.06,0%
647,AUSTRALIAN JOURNAL OF CAREER DEVELOPMENT,AUST J CAREER DEV,1038-4162,2200-6974,"PSYCHOLOGY, APPLIED - ESCI",290,,,0.31,0%
648,AUSTRALIAN JOURNAL OF CHEMISTRY,AUST J CHEM,0004-9425,1445-0038,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","5,059",1.224,Q4,0.21,10.38%
650,AUSTRALIAN JOURNAL OF EMERGENCY MANAGEMENT,AUST J EMERG MANAG,1324-1540,1324-1540,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,014",,,0.23,0%
651,AUSTRALIAN JOURNAL OF MECHANICAL ENGINEERING,AUST J MECH ENG,1448-4846,2204-2253,"ENGINEERING, MECHANICAL - ESCI",661,,,0.37,0%
652,AUSTRALIAN JOURNAL OF PRIMARY HEALTH,AUST J PRIM HEALTH,1448-7527,1836-7399,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,398",1.72,Q4,0.54,17.30%
653,AUSTRALIAN JOURNAL OF PSYCHOLOGY,AUST J PSYCHOL,0004-9530,1742-9536,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,494",2.803,Q2,0.72,3.13%
654,AUSTRALIAN JOURNAL OF RURAL HEALTH,AUST J RURAL HEALTH,1038-5282,1440-1584,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,949",2.06,Q3,0.71,4.86%
655,AUSTRALIAN PRESCRIBER,AUST PRESCR,0312-8008,1839-3942,PHARMACOLOGY & PHARMACY - ESCI,920,,,0.73,97.30%
656,AUSTRALIAN PSYCHOLOGIST,AUST PSYCHOL,0005-0067,1742-9544,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,023",2.275,Q3,0.64,2.58%
657,AUSTRIAN JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM,AUST J CLIN ENDOCR M,1998-7773,1998-7781,ENDOCRINOLOGY & METABOLISM - ESCI,10,,,0.02,66.15%
658,AUTOIMMUNE DISEASES,AUTOIMMUN DIS,2090-0422,2090-0430,IMMUNOLOGY - ESCI,532,,,0.4,100%
659,AUTOIMMUNITY,AUTOIMMUNITY,0891-6934,1607-842X,IMMUNOLOGY - SCIE,"2,745",2.957,Q4,0.45,6.45%
660,AUTOIMMUNITY REVIEWS,AUTOIMMUN REV,1568-9972,1873-0183,IMMUNOLOGY - SCIE,"15,065",17.39,Q1,1.42,10.14%
661,AUTOMATICA,AUTOMATICA,0005-1098,1873-2836,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","49,436",6.15,Q1,1.54,3.60%
662,AUTOMATIKA,AUTOMATIKA-UK,0005-1144,1848-3380,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",576,1.79,Q3,0.35,100%
663,AUTOMOTIVE INNOVATION,AUTOMOTIVE INNOV,2096-4250,2522-8765,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",203,,,0.37,40.20%
665,AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL,AUTON NEUROSCI-BASIC,1566-0702,1872-7484,NEUROSCIENCES - SCIE,"3,754",2.355,Q4,0.48,10.59%
666,AUTOPHAGY,AUTOPHAGY,1554-8627,1554-8635,CELL BIOLOGY - SCIE,"28,964",13.391,Q1,1.5,29.11%
668,AVANCES,AVANCES,1562-3297,1562-3297,MULTIDISCIPLINARY SCIENCES - ESCI,48,,,0.01,0%
669,AVICENNA JOURNAL OF PHYTOMEDICINE,AVICENNA J PHYTOMEDI,2228-7930,2228-7949,"CHEMISTRY, MEDICINAL - ESCI","1,523",,,0.66,0%
670,AXIOMS,AXIOMS,,2075-1680,"MATHEMATICS, APPLIED - SCIE",985,1.824,Q2,1.01,97.40%
671,B-ENT,B-ENT,,1781-782X,OTORHINOLARYNGOLOGY - SCIE,466,0.39,Q4,0.14,56.21%
673,BAGHDAD SCIENCE JOURNAL,BAGHDAD SCI J,2078-8665,2411-7986,MULTIDISCIPLINARY SCIENCES - ESCI,323,,,0.1,96.61%
674,BANACH JOURNAL OF MATHEMATICAL ANALYSIS,BANACH J MATH ANAL,2662-2033,1735-8787,"MATHEMATICS, APPLIED - SCIE",495,1.197,Q3,0.83,7.25%
675,BANGLADESH JOURNAL OF OTORHINOLARYNGOLOGY,BANGLADESH J OTORHIN,1728-8835,2304-6244,OTORHINOLARYNGOLOGY - ESCI,38,,,0.02,0%
677,BANGLADESH JOURNAL OF PHARMACOLOGY,BANGL J PHARMACOL,1991-007X,1991-0088,PHARMACOLOGY & PHARMACY - SCIE,800,1.143,Q4,0.24,78.72%
678,BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,BASIC CLIN PHARMACOL,1742-7835,1742-7843,PHARMACOLOGY & PHARMACY - SCIE,"6,212",3.688,Q2,0.74,12.71%
679,BASIC AND APPLIED SOCIAL PSYCHOLOGY,BASIC APPL SOC PSYCH,0197-3533,1532-4834,"PSYCHOLOGY, SOCIAL - SSCI","3,098",1.518,Q4,0.42,8.11%
680,BASIC AND CLINICAL NEUROSCIENCE,BASIC CLIN NEUROSCI,2008-126X,2228-7442,NEUROSCIENCES - ESCI,879,,,0.37,96.76%
681,BEHAVIOR ANALYSIS IN PRACTICE,BEHAV ANAL PRACT,1998-1929,2196-8934,"PSYCHOLOGY, CLINICAL - ESCI","1,565",,,0.6,2.41%
682,BEHAVIOR AND SOCIAL ISSUES,BEHAV SOC ISSUES,1064-9506,2376-6786,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",416,,,0.53,4.17%
683,BEHAVIOR GENETICS,BEHAV GENET,0001-8244,1573-3297,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","3,506",2.965,Q2,0.88,27.61%
684,BEHAVIOR MODIFICATION,BEHAV MODIF,0145-4455,1552-4167,"PSYCHOLOGY, CLINICAL - SSCI","2,880",2.692,Q3,0.75,3.05%
685,BEHAVIOR RESEARCH METHODS,BEHAV RES METHODS,1554-351X,1554-3528,"PSYCHOLOGY, EXPERIMENTAL - SSCI; PSYCHOLOGY, MATHEMATICAL - SSCI","30,782",5.953,Q1,1.82,39.54%
686,BEHAVIOR THERAPY,BEHAV THER,0005-7894,1878-1888,"PSYCHOLOGY, CLINICAL - SSCI","8,007",4.796,Q1,1.25,3.50%
687,BEHAVIORAL AND BRAIN FUNCTIONS,BEHAV BRAIN FUNCT,,1744-9081,NEUROSCIENCES - SCIE,"1,832",3.95,Q2,0.91,100%
688,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,1469-1825,NEUROSCIENCES - SCIE,"12,872",21.357,Q1,3.36,0%
690,BEHAVIORAL DISORDERS,BEHAV DISORDERS,0198-7429,2163-5307,"PSYCHOLOGY, CLINICAL - SSCI","1,101",3.164,Q3,0.96,2.74%
691,BEHAVIORAL INTERVENTIONS,BEHAV INTERVENT,1072-0847,1099-078X,"PSYCHOLOGY, CLINICAL - SSCI",764,1.269,Q4,0.33,3.66%
692,BEHAVIORAL NEUROSCIENCE,BEHAV NEUROSCI,0735-7044,1939-0084,NEUROSCIENCES - SCIE,"6,781",2.154,Q4,0.59,0.53%
693,BEHAVIORAL PSYCHOLOGY-PSICOLOGIA CONDUCTUAL,BEHAV PSYCHOL,1132-9483,1132-9483,"PSYCHOLOGY, CLINICAL - SSCI",599,1.111,Q4,0.28,0%
694,BEHAVIORAL SCIENCES,BEHAV SCI-BASEL,,2076-328X,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,182",2.286,Q3,0.72,96.68%
695,BEHAVIORAL SCIENCES & THE LAW,BEHAV SCI LAW,0735-3936,1099-0798,"PSYCHOLOGY, APPLIED - SSCI","2,328",2.568,Q3,1.45,6.52%
696,BEHAVIORAL SLEEP MEDICINE,BEHAV SLEEP MED,1540-2002,1540-2010,CLINICAL NEUROLOGY - SCIE,"2,419",3.492,Q3,0.94,4.58%
697,BEHAVIOUR CHANGE,BEHAV CHANGE,0813-4839,2049-7768,"PSYCHOLOGY, CLINICAL - SSCI",669,1.355,Q4,0.32,8.20%
698,BEHAVIOUR RESEARCH AND THERAPY,BEHAV RES THER,0005-7967,1873-622X,"PSYCHOLOGY, CLINICAL - SSCI","24,103",5.321,Q1,1.4,11.38%
699,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,BEHAV COGN PSYCHOTH,1352-4658,1469-1833,"PSYCHOLOGY, CLINICAL - SSCI","2,634",2.467,Q3,0.64,8.74%
700,BEHAVIOURAL BRAIN RESEARCH,BEHAV BRAIN RES,0166-4328,1872-7549,NEUROSCIENCES - SCIE,"32,185",3.352,Q3,0.92,6.88%
701,BEHAVIOURAL NEUROLOGY,BEHAV NEUROL,0953-4180,1875-8584,CLINICAL NEUROLOGY - SCIE,"2,347",3.112,Q3,0.69,99.41%
702,BEHAVIOURAL PHARMACOLOGY,BEHAV PHARMACOL,0955-8810,1473-5849,NEUROSCIENCES - SCIE,"3,176",2.277,Q4,0.55,2.37%
704,BEHAVIOURAL PROCESSES,BEHAV PROCESS,0376-6357,1872-8308,"PSYCHOLOGY, BIOLOGICAL - SSCI","5,969",1.729,Q4,0.69,6.19%
705,BEILSTEIN JOURNAL OF NANOTECHNOLOGY,BEILSTEIN J NANOTECH,2190-4286,2190-4286,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"6,636",3.272,Q3,0.49,99.41%
706,BELL LABS TECHNICAL JOURNAL,BELL LABS TECH J,1089-7089,1538-7305,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",340,0.0,Q4,0.03,0%
707,BENEFICIAL MICROBES,BENEF MICROBES,1876-2883,1876-2891,NUTRITION & DIETETICS - SCIE,"3,044",5.05,Q2,0.87,0.53%
708,BENI-SUEF UNIVERSITY JOURNAL OF BASIC AND APPLIED SCIENCES,BENI-SUEF U J BASIC,,2314-8543,MULTIDISCIPLINARY SCIENCES - ESCI,355,,,0.27,100%
709,BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,BEST PRACT RES CL EN,1521-690X,1532-1908,ENDOCRINOLOGY & METABOLISM - SCIE,"5,399",5.667,Q2,0.92,8.84%
710,BILINGUALISM-LANGUAGE AND COGNITION,BILING-LANG COGN,1366-7289,1469-1841,"PSYCHOLOGY, EXPERIMENTAL - SSCI","4,829",4.763,Q1,2.0,21.84%
711,BIO-ALGORITHMS AND MED-SYSTEMS,BIO-ALGORITHMS MED-S,1895-9091,1896-530X,MATHEMATICAL & COMPUTATIONAL BIOLOGY - ESCI,97,,,0.12,6.41%
712,BIO-DESIGN AND MANUFACTURING,BIO-DES MANUF,2096-5524,2522-8552,"ENGINEERING, BIOMEDICAL - SCIE",700,5.887,Q2,0.92,13.22%
713,BIO-MEDICAL MATERIALS AND ENGINEERING,BIO-MED MATER ENG,0959-2989,1878-3619,"ENGINEERING, BIOMEDICAL - SCIE","1,920",1.234,Q4,0.25,1.87%
714,BIO-PROTOCOL,BIO-PROTOCOL,,2331-8325,BIOLOGY - ESCI,"2,571",,,0.22,13.86%
715,BIOACTIVE MATERIALS,BIOACT MATER,,2452-199X,"ENGINEERING, BIOMEDICAL - SCIE","6,655",16.874,Q1,2.34,99.60%
716,BIOCATALYSIS AND BIOTRANSFORMATION,BIOCATAL BIOTRANSFOR,1024-2422,1029-2446,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,435,1.075,Q3,,
718,BIOCELL,BIOCELL,0327-9545,1667-5746,BIOLOGY - SCIE,447,1.11,Q4,0.24,84.01%
719,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,BIOCHEM BIOPH RES CO,0006-291X,1090-2104,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"108,401",3.322,Q3,0.76,9.10%
722,BIOCHEMICAL AND MOLECULAR MEDICINE,BIOCHEM MOL MED,1077-3150,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,327,1.455,Q3,,
723,BIOCHEMICAL ARCHIVES,BIOCHEM ARCH,0749-5331,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,105,0.274,Q4,,
724,BIOCHEMICAL EDUCATION,BIOCHEM EDUC,0307-4412,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,128,0.232,Q4,,
725,BIOCHEMICAL GENETICS,BIOCHEM GENET,0006-2928,1573-4927,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,986,0.868,Q3,,
727,BIOCHEMICAL JOURNAL,BIOCHEM J,0264-6021,1470-8728,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"52,589",3.766,Q3,0.58,60.71%
729,BIOCHEMICAL PHARMACOLOGY,BIOCHEM PHARMACOL,0006-2952,1873-2968,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"19,451",2.719,Q2,,
731,BIOCHEMICAL SOCIETY SYMPOSIUM,BIOCHEM SOC SYMP,0067-8694,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,225,1.929,Q2,,
732,BIOCHEMICAL SOCIETY TRANSACTIONS,BIOCHEM SOC T,0300-5127,1470-8752,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"16,027",4.919,Q2,0.51,40.92%
734,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0305-1978,1873-2925,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,944,0.675,Q4,,
736,BIOCHEMISTRY,BIOCHEMISTRY-US,0006-2960,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"76,644",3.321,Q3,0.59,9.24%
738,BIOCHEMISTRY AND BIOPHYSICS REPORTS,BIOCHEM BIOPHYS REP,2405-5808,2405-5808,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI,"2,179",,,0.43,99.66%
